tw	tg	b	h	lambda	k	chi	range	prec	type
9	999	55.9	4	100	2	1.0	0.1	5	MUTATE
9	999	56.3	4	100	2	1.0	0.1	5	MUTATE
9	999	61.1	4	100	2	1.0	0.1	5	MUTATE
9	999	57.6	4	100	2	1.0	0.1	5	MUTATE
9	999	64.4	4	100	2	1.0	0.1	5	MUTATE
9	999	60.3	4	100	2	1.0	0.1	5	MUTATE
9	999	57.3	4	100	2	1.0	0.1	5	MUTATE
9	999	57.4	4	100	2	1.0	0.1	5	MUTATE
9	999	58.7	4	100	2	1.0	0.1	5	MUTATE
9	999	57.9	4	100	2	1.0	0.1	5	MUTATE
9	999	61.4	4	100	2	1.0	0.1	5	MUTATE
9	999	59.8	4	100	2	1.0	0.1	5	MUTATE
9	999	64.7	4	100	2	1.0	0.1	5	MUTATE
9	999	57.2	4	100	2	1.0	0.1	5	MUTATE
9	999	62.1	4	100	2	1.0	0.1	5	MUTATE
9	999	59.9	4	100	2	1.0	0.1	5	MUTATE
9	999	52.2	4	100	2	1.0	0.1	5	MUTATE
9	999	57.4	4	100	2	1.0	0.1	5	MUTATE
9	999	57.6	4	100	2	1.0	0.1	5	MUTATE
9	999	66.3	4	100	2	1.0	0.1	5	MUTATE
9	999	56.7	4	100	2	1.0	0.1	5	MUTATE
9	999	59.3	4	100	2	1.0	0.1	5	MUTATE
9	999	62.3	4	100	2	1.0	0.1	5	MUTATE
9	999	59.8	4	100	2	1.0	0.1	5	MUTATE
9	999	62.6	4	100	2	1.0	0.1	5	MUTATE
9	999	61.4	4	100	2	1.0	0.1	5	MUTATE
9	999	59.8	4	100	2	1.0	0.1	5	MUTATE
9	999	57.2	4	100	2	1.0	0.1	5	MUTATE
9	999	55.5	4	100	2	1.0	0.1	5	MUTATE
9	999	56.6	4	100	2	1.0	0.1	5	MUTATE
9	999	58.4	4	100	2	1.0	0.1	5	MUTATE
9	999	57.1	4	100	2	1.0	0.1	5	MUTATE
9	999	59.4	4	100	2	1.0	0.1	5	MUTATE
9	999	58.5	4	100	2	1.0	0.1	5	MUTATE
9	999	57.4	4	100	2	1.0	0.1	5	MUTATE
9	999	53.5	4	100	2	1.0	0.1	5	MUTATE
9	999	53.5	4	100	2	1.0	0.1	5	MUTATE
9	999	52.2	4	100	2	1.0	0.1	5	MUTATE
9	999	55.5	4	100	2	1.0	0.1	5	MUTATE
9	999	63.1	4	100	2	1.0	0.1	5	MUTATE
9	999	59.3	4	100	2	1.0	0.1	5	MUTATE
9	999	63.7	4	100	2	1.0	0.1	5	MUTATE
9	999	58.5	4	100	2	1.0	0.1	5	MUTATE
9	999	60.3	4	100	2	1.0	0.1	5	MUTATE
9	999	60.1	4	100	2	1.0	0.1	5	MUTATE
9	999	61.5	4	100	2	1.0	0.1	5	MUTATE
9	999	56.1	4	100	2	1.0	0.1	5	MUTATE
9	999	61.8	4	100	2	1.0	0.1	5	MUTATE
9	999	60.9	4	100	2	1.0	0.1	5	MUTATE
9	999	52.9	4	100	2	1.0	0.1	5	MUTATE
9	999	58.9	4	100	2	1.0	0.1	5	MUTATE
