tw	tg	b	h	lambda	k	chi	range	prec	type
9	61	56.0	3	100	2	1.0	0.1	5	GDR
9	514	55.6	3	100	2	1.0	0.1	5	GDR
9	544	55.9	3	100	2	1.0	0.1	5	GDR
9	107	56.6	3	100	2	1.0	0.1	5	GDR
9	979	56.4	3	100	2	1.0	0.1	5	GDR
9	806	54.8	3	100	2	1.0	0.1	5	GDR
9	759	55.8	3	100	2	1.0	0.1	5	GDR
9	626	57.9	3	100	2	1.0	0.1	5	GDR
9	920	56.4	3	100	2	1.0	0.1	5	GDR
9	938	57.0	3	100	2	1.0	0.1	5	GDR
9	301	54.9	3	100	2	1.0	0.1	5	GDR
9	13	56.4	3	100	2	1.0	0.1	5	GDR
9	786	56.1	3	100	2	1.0	0.1	5	GDR
9	694	55.9	3	100	2	1.0	0.1	5	GDR
9	473	57.5	3	100	2	1.0	0.1	5	GDR
9	44	54.5	3	100	2	1.0	0.1	5	GDR
9	555	56.7	3	100	2	1.0	0.1	5	GDR
9	52	58.0	3	100	2	1.0	0.1	5	GDR
9	334	55.7	3	100	2	1.0	0.1	5	GDR
9	81	56.7	3	100	2	1.0	0.1	5	GDR
9	917	58.0	3	100	2	1.0	0.1	5	GDR
9	4	56.8	3	100	2	1.0	0.1	5	GDR
9	5	55.2	3	100	2	1.0	0.1	5	GDR
9	242	55.6	3	100	2	1.0	0.1	5	GDR
9	715	56.0	3	100	2	1.0	0.1	5	GDR
9	72	57.3	3	100	2	1.0	0.1	5	GDR
9	677	56.6	3	100	2	1.0	0.1	5	GDR
9	361	56.3	3	100	2	1.0	0.1	5	GDR
9	17	57.1	3	100	2	1.0	0.1	5	GDR
9	615	57.0	3	100	2	1.0	0.1	5	GDR
9	478	57.9	3	100	2	1.0	0.1	5	GDR
9	258	55.9	3	100	2	1.0	0.1	5	GDR
9	92	56.6	3	100	2	1.0	0.1	5	GDR
9	30	56.4	3	100	2	1.0	0.1	5	GDR
9	28	55.5	3	100	2	1.0	0.1	5	GDR
9	996	56.4	3	100	2	1.0	0.1	5	GDR
9	215	57.9	3	100	2	1.0	0.1	5	GDR
9	245	56.0	3	100	2	1.0	0.1	5	GDR
9	821	56.6	3	100	2	1.0	0.1	5	GDR
9	247	55.6	3	100	2	1.0	0.1	5	GDR
9	336	55.9	3	100	2	1.0	0.1	5	GDR
9	995	56.4	3	100	2	1.0	0.1	5	GDR
9	835	58.2	3	100	2	1.0	0.1	5	GDR
9	641	55.5	3	100	2	1.0	0.1	5	GDR
9	368	57.2	3	100	2	1.0	0.1	5	GDR
9	693	56.3	3	100	2	1.0	0.1	5	GDR
9	482	56.3	3	100	2	1.0	0.1	5	GDR
9	672	56.8	3	100	2	1.0	0.1	5	GDR
9	748	55.8	3	100	2	1.0	0.1	5	GDR
9	680	56.9	3	100	2	1.0	0.1	5	GDR
9	954	55.6	3	100	2	1.0	0.1	5	GDR
9	67	55.9	3	100	2	1.0	0.1	5	GDR
9	0	0.0	3	100	2	1.0	0.1	5	GDR
9	388	57.7	3	100	2	1.0	0.1	5	GDR
9	338	55.9	3	100	2	1.0	0.1	5	GDR
9	844	56.5	3	100	2	1.0	0.1	5	GDR
9	656	56.7	3	100	2	1.0	0.1	5	GDR
9	750	57.4	3	100	2	1.0	0.1	5	GDR
9	16	55.3	3	100	2	1.0	0.1	5	GDR
9	58	57.2	3	100	2	1.0	0.1	5	GDR
9	471	54.9	3	100	2	1.0	0.1	5	GDR
9	81	55.5	3	100	2	1.0	0.1	5	GDR
9	175	55.7	3	100	2	1.0	0.1	5	GDR
9	173	58.1	3	100	2	1.0	0.1	5	GDR
9	5	55.1	3	100	2	1.0	0.1	5	GDR
9	774	56.8	3	100	2	1.0	0.1	5	GDR
9	443	56.6	3	100	2	1.0	0.1	5	GDR
9	570	55.8	3	100	2	1.0	0.1	5	GDR
9	399	56.3	3	100	2	1.0	0.1	5	GDR
9	853	56.0	3	100	2	1.0	0.1	5	GDR
9	403	55.9	3	100	2	1.0	0.1	5	GDR
9	19	54.2	3	100	2	1.0	0.1	5	GDR
9	706	56.2	3	100	2	1.0	0.1	5	GDR
9	81	55.2	3	100	2	1.0	0.1	5	GDR
9	700	56.5	3	100	2	1.0	0.1	5	GDR
9	316	56.3	3	100	2	1.0	0.1	5	GDR
9	641	56.8	3	100	2	1.0	0.1	5	GDR
9	790	56.4	3	100	2	1.0	0.1	5	GDR
9	898	57.1	3	100	2	1.0	0.1	5	GDR
9	16	56.2	3	100	2	1.0	0.1	5	GDR
9	766	57.1	3	100	2	1.0	0.1	5	GDR
9	19	55.1	3	100	2	1.0	0.1	5	GDR
9	475	55.3	3	100	2	1.0	0.1	5	GDR
9	7	58.0	3	100	2	1.0	0.1	5	GDR
9	333	57.5	3	100	2	1.0	0.1	5	GDR
9	239	57.4	3	100	2	1.0	0.1	5	GDR
9	113	55.8	3	100	2	1.0	0.1	5	GDR
9	42	56.8	3	100	2	1.0	0.1	5	GDR
9	822	55.9	3	100	2	1.0	0.1	5	GDR
9	758	56.0	3	100	2	1.0	0.1	5	GDR
9	157	56.9	3	100	2	1.0	0.1	5	GDR
9	124	57.5	3	100	2	1.0	0.1	5	GDR
9	876	56.4	3	100	2	1.0	0.1	5	GDR
9	930	58.3	3	100	2	1.0	0.1	5	GDR
9	65	55.8	3	100	2	1.0	0.1	5	GDR
9	775	56.3	3	100	2	1.0	0.1	5	GDR
9	40	58.0	3	100	2	1.0	0.1	5	GDR
9	122	54.5	3	100	2	1.0	0.1	5	GDR
9	381	57.9	3	100	2	1.0	0.1	5	GDR
9	793	56.7	3	100	2	1.0	0.1	5	GDR
9	619	56.2	4	100	2	1.0	0.1	5	GDR
9	124	55.6	4	100	2	1.0	0.1	5	GDR
9	950	55.2	4	100	2	1.0	0.1	5	GDR
9	723	55.5	4	100	2	1.0	0.1	5	GDR
9	370	57.4	4	100	2	1.0	0.1	5	GDR
9	143	55.3	4	100	2	1.0	0.1	5	GDR
9	812	56.1	4	100	2	1.0	0.1	5	GDR
9	105	57.2	4	100	2	1.0	0.1	5	GDR
9	47	55.5	4	100	2	1.0	0.1	5	GDR
9	11	56.8	4	100	2	1.0	0.1	5	GDR
9	62	55.2	4	100	2	1.0	0.1	5	GDR
9	5	55.8	4	100	2	1.0	0.1	5	GDR
9	396	58.6	4	100	2	1.0	0.1	5	GDR
9	513	56.2	4	100	2	1.0	0.1	5	GDR
9	112	55.9	4	100	2	1.0	0.1	5	GDR
9	69	55.6	4	100	2	1.0	0.1	5	GDR
9	222	55.8	4	100	2	1.0	0.1	5	GDR
9	214	57.0	4	100	2	1.0	0.1	5	GDR
9	938	56.0	4	100	2	1.0	0.1	5	GDR
9	374	57.2	4	100	2	1.0	0.1	5	GDR
9	976	56.6	4	100	2	1.0	0.1	5	GDR
9	718	56.1	4	100	2	1.0	0.1	5	GDR
9	575	56.4	4	100	2	1.0	0.1	5	GDR
9	73	56.0	4	100	2	1.0	0.1	5	GDR
9	121	54.7	4	100	2	1.0	0.1	5	GDR
9	100	57.5	4	100	2	1.0	0.1	5	GDR
9	954	56.3	4	100	2	1.0	0.1	5	GDR
9	270	56.9	4	100	2	1.0	0.1	5	GDR
9	915	56.1	4	100	2	1.0	0.1	5	GDR
9	8	59.1	4	100	2	1.0	0.1	5	GDR
9	255	56.5	4	100	2	1.0	0.1	5	GDR
9	29	56.4	4	100	2	1.0	0.1	5	GDR
9	796	55.4	4	100	2	1.0	0.1	5	GDR
9	16	56.1	4	100	2	1.0	0.1	5	GDR
9	743	58.2	4	100	2	1.0	0.1	5	GDR
9	542	55.4	4	100	2	1.0	0.1	5	GDR
9	100	56.6	4	100	2	1.0	0.1	5	GDR
9	153	57.4	4	100	2	1.0	0.1	5	GDR
9	601	57.6	4	100	2	1.0	0.1	5	GDR
9	1	55.3	4	100	2	1.0	0.1	5	GDR
9	17	57.0	4	100	2	1.0	0.1	5	GDR
9	733	55.7	4	100	2	1.0	0.1	5	GDR
9	952	56.9	4	100	2	1.0	0.1	5	GDR
9	700	56.7	4	100	2	1.0	0.1	5	GDR
9	930	56.0	4	100	2	1.0	0.1	5	GDR
9	961	57.2	4	100	2	1.0	0.1	5	GDR
9	9	56.3	4	100	2	1.0	0.1	5	GDR
9	94	55.8	4	100	2	1.0	0.1	5	GDR
9	126	57.7	4	100	2	1.0	0.1	5	GDR
9	227	55.3	4	100	2	1.0	0.1	5	GDR
9	690	56.5	4	100	2	1.0	0.1	5	GDR
9	38	56.7	4	100	2	1.0	0.1	5	GDR
9	970	57.1	4	100	2	1.0	0.1	5	GDR
9	9	56.2	4	100	2	1.0	0.1	5	GDR
9	182	57.0	4	100	2	1.0	0.1	5	GDR
9	438	58.4	4	100	2	1.0	0.1	5	GDR
9	22	54.6	4	100	2	1.0	0.1	5	GDR
9	852	56.5	4	100	2	1.0	0.1	5	GDR
9	26	55.6	4	100	2	1.0	0.1	5	GDR
9	40	56.7	4	100	2	1.0	0.1	5	GDR
9	381	56.3	4	100	2	1.0	0.1	5	GDR
9	530	55.3	4	100	2	1.0	0.1	5	GDR
9	811	56.9	4	100	2	1.0	0.1	5	GDR
9	88	57.5	4	100	2	1.0	0.1	5	GDR
9	29	57.0	4	100	2	1.0	0.1	5	GDR
9	741	56.6	4	100	2	1.0	0.1	5	GDR
9	8	55.7	4	100	2	1.0	0.1	5	GDR
9	228	54.7	4	100	2	1.0	0.1	5	GDR
9	404	57.1	4	100	2	1.0	0.1	5	GDR
9	51	57.8	4	100	2	1.0	0.1	5	GDR
9	13	54.8	4	100	2	1.0	0.1	5	GDR
9	14	55.8	4	100	2	1.0	0.1	5	GDR
9	579	56.3	4	100	2	1.0	0.1	5	GDR
9	870	56.0	4	100	2	1.0	0.1	5	GDR
9	25	57.9	4	100	2	1.0	0.1	5	GDR
9	766	56.4	4	100	2	1.0	0.1	5	GDR
9	62	56.0	4	100	2	1.0	0.1	5	GDR
9	291	58.3	4	100	2	1.0	0.1	5	GDR
9	800	58.2	4	100	2	1.0	0.1	5	GDR
