n	chi	lambda	k	t	fbest
200	1.125	100	2	37	200
200	1.125	100	2	40	200
200	1.125	100	2	41	200
200	1.125	100	2	48	200
200	1.125	100	2	40	200
200	1.125	100	2	38	200
200	1.125	100	2	37	200
200	1.125	100	2	36	200
200	1.125	100	2	40	200
200	1.125	100	2	39	200
200	1.125	100	2	49	200
200	1.125	100	2	56	200
200	1.125	100	2	35	200
200	1.125	100	2	40	200
200	1.125	100	2	38	200
200	1.25	100	2	38	200
200	1.25	100	2	54	200
200	1.25	100	2	35	200
200	1.25	100	2	44	200
200	1.25	100	2	38	200
200	1.25	100	2	39	200
200	1.25	100	2	40	200
200	1.25	100	2	49	200
200	1.25	100	2	35	200
200	1.25	100	2	43	200
200	1.25	100	2	42	200
200	1.25	100	2	41	200
200	1.25	100	2	41	200
200	1.25	100	2	42	200
200	1.25	100	2	44	200
200	1.25	100	2	39	200
200	1.25	100	2	38	200
200	1.25	100	2	42	200
200	1.25	100	2	40	200
200	1.25	100	2	37	200
200	1.25	100	2	37	200
200	1.25	100	2	39	200
200	1.25	100	2	38	200
200	1.25	100	2	38	200
200	1.25	100	2	41	200
200	1.25	100	2	41	200
200	1.25	100	2	37	200
200	1.25	100	2	39	200
200	1.25	100	2	44	200
200	1.25	100	2	40	200
200	1.25	100	2	48	200
200	1.25	100	2	39	200
200	1.25	100	2	36	200
200	1.25	100	2	40	200
200	1.25	100	2	40	200
200	1.25	100	2	41	200
200	1.25	100	2	40	200
200	1.25	100	2	39	200
200	1.25	100	2	43	200
200	1.25	100	2	40	200
200	1.25	100	2	37	200
200	1.25	100	2	40	200
200	1.25	100	2	42	200
200	1.25	100	2	43	200
200	1.25	100	2	39	200
200	1.25	100	2	39	200
200	1.25	100	2	41	200
200	1.25	100	2	40	200
200	1.25	100	2	41	200
200	1.25	100	2	39	200
200	1.25	100	2	36	200
200	1.25	100	2	40	200
200	1.25	100	2	39	200
200	1.25	100	2	43	200
200	1.25	100	2	37	200
200	1.25	100	2	40	200
200	1.25	100	2	38	200
200	1.25	100	2	35	200
200	1.25	100	2	37	200
200	1.25	100	2	40	200
200	1.25	100	2	41	200
200	1.25	100	2	35	200
200	1.25	100	2	43	200
200	1.25	100	2	38	200
200	1.25	100	2	35	200
200	1.25	100	2	40	200
200	1.25	100	2	53	200
200	1.25	100	2	36	200
200	1.25	100	2	43	200
200	1.25	100	2	39	200
200	1.25	100	2	48	200
200	1.25	100	2	38	200
200	1.25	100	2	38	200
200	1.25	100	2	41	200
200	1.25	100	2	39	200
200	1.25	100	2	41	200
200	1.25	100	2	37	200
200	1.25	100	2	44	200
200	1.25	100	2	50	200
200	1.25	100	2	40	200
200	1.25	100	2	40	200
200	1.25	100	2	39	200
200	1.25	100	2	45	200
200	1.25	100	2	39	200
200	1.25	100	2	38	200
200	1.25	100	2	46	200
200	1.25	100	2	44	200
200	1.25	100	2	40	200
200	1.25	100	2	39	200
200	1.25	100	2	45	200
200	1.25	100	2	38	200
200	1.25	100	2	37	200
200	1.25	100	2	44	200
200	1.25	100	2	37	200
200	1.25	100	2	44	200
