n	chi	lambda	k	t	fbest
25	0.6	100	2	6	25
25	0.6	100	2	7	25
25	0.6	100	2	5	25
25	0.6	100	2	7	25
25	0.6	100	2	6	25
25	0.6	100	2	7	25
25	0.6	100	2	5	25
25	0.6	100	2	8	25
25	0.6	100	2	5	25
25	0.6	100	2	7	25
25	0.6	100	2	6	25
25	0.6	100	2	7	25
25	0.6	100	2	3	25
25	0.6	100	2	6	25
25	0.6	100	2	8	25
25	0.6	100	2	5	25
25	0.6	100	2	6	25
25	0.6	100	2	7	25
25	0.6	100	2	9	25
25	0.6	100	2	7	25
25	0.6	100	2	7	25
25	0.6	100	2	4	25
25	0.6	100	2	8	25
25	0.6	100	2	4	25
25	0.6	100	2	9	25
25	0.6	100	2	6	25
25	0.6	100	2	6	25
25	0.6	100	2	6	25
25	0.6	100	2	6	25
25	0.6	100	2	8	25
25	0.6	100	2	6	25
25	0.6	100	2	7	25
25	0.6	100	2	6	25
25	0.6	100	2	7	25
25	0.6	100	2	6	25
25	0.6	100	2	7	25
25	0.6	100	2	6	25
25	0.6	100	2	6	25
25	0.6	100	2	7	25
25	0.6	100	2	7	25
25	0.6	100	2	8	25
25	0.6	100	2	8	25
25	0.6	100	2	7	25
25	0.6	100	2	6	25
25	0.6	100	2	7	25
25	0.6	100	2	6	25
25	0.6	100	2	6	25
25	0.6	100	2	7	25
25	0.6	100	2	6	25
25	0.6	100	2	7	25
25	0.6	100	2	7	25
25	0.6	100	2	7	25
25	0.6	100	2	7	25
25	0.6	100	2	5	25
25	0.6	100	2	8	25
25	0.6	100	2	6	25
25	0.6	100	2	6	25
25	0.6	100	2	6	25
25	0.6	100	2	5	25
25	0.6	100	2	6	25
25	0.6	100	2	7	25
25	0.6	100	2	6	25
25	0.6	100	2	8	25
25	0.6	100	2	7	25
25	0.6	100	2	7	25
25	0.6	100	2	7	25
25	0.6	100	2	7	25
25	0.6	100	2	5	25
25	0.6	100	2	6	25
25	0.6	100	2	6	25
25	0.6	100	2	7	25
25	0.6	100	2	6	25
25	0.6	100	2	6	25
30	0.6	100	2	9	30
30	0.6	100	2	6	30
30	0.6	100	2	8	30
30	0.6	100	2	7	30
30	0.6	100	2	8	30
30	0.6	100	2	6	30
30	0.6	100	2	8	30
30	0.6	100	2	8	30
30	0.6	100	2	8	30
30	0.6	100	2	10	30
30	0.6	100	2	8	30
30	0.6	100	2	8	30
30	0.6	100	2	7	30
30	0.6	100	2	8	30
30	0.6	100	2	6	30
30	0.6	100	2	7	30
30	0.6	100	2	8	30
30	0.6	100	2	8	30
30	0.6	100	2	7	30
30	0.6	100	2	7	30
30	0.6	100	2	8	30
30	0.6	100	2	6	30
30	0.6	100	2	8	30
30	0.6	100	2	8	30
30	0.6	100	2	7	30
30	0.6	100	2	6	30
30	0.6	100	2	8	30
30	0.6	100	2	8	30
30	0.6	100	2	8	30
30	0.6	100	2	7	30
30	0.6	100	2	8	30
30	0.6	100	2	10	30
30	0.6	100	2	7	30
30	0.6	100	2	6	30
30	0.6	100	2	6	30
30	0.6	100	2	10	30
30	0.6	100	2	6	30
30	0.6	100	2	7	30
